nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk,brand
Nugget ayam fiesta 500gr promo only,48900,Mandiri Frozen,Tangerang,1000,4.9,Fiesta
Fiesta crispy bubble nugget ayam,39000,Mazu Fish Market,Jakarta Barat,14,5.0,Fiesta
Fiesta Hot Nugget & Crispy Fried Chicken Lv 5,45500,FIESTA NUGGET,Jakarta Utara,30,5.0,Fiesta
FIESTA NUGGET DINO 500 GRAM,52500,BINTAN Frozen Foods,Tangerang Selatan,100,5.0,Fiesta
Fiesta Mitra Nugget 500 GR,50000,FIESTA NUGGET,Jakarta Utara,100,4.8,Fiesta
Fiesta nugget stikie dino crispy crunch spicy wing - Crispy Crunch,26100,Mazu Fish Market,Jakarta Barat,10,5.0,Fiesta
Kanzler Crispy Chicken Nugget 120gr - 1 Pack,13775,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,50,4.9,Fiesta
Kanzler Nugget Crispy Bubble 120gr,15000,MajuMakmurFrozenFood,Kab. Karawang,6,4.0,Fiesta
Cedea Crab Sticks Seafood Cedea - 250gr BESTSELLER!,19900,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,30,5.0,Fiesta
Kanzler Crispy Chicken Nugget 450 gr,38000,Toko Kuliner,Jakarta Barat,6000,5.0,Fiesta
Fiesta Chicken Nugget 250gr,28900,Aishakira online,Jakarta Timur,100,4.9,Fiesta
Fiesta Nugget Dino 500gr,49990,greenfrozen337,Jakarta Pusat,29,5.0,Fiesta
Fiesta Nugget Kemasan Merah 500 gram,49500,Rickyman Frozen,Tangerang,250,5.0,Fiesta
Fiesta crispy bubble 500gram/naget ayam crispyy,42000,YH FROZEN,Tangerang,30,4.9,Fiesta
Fiesta Nugget 250 gr,28500,RN FROZEN FOOD,Jakarta Selatan,100,4.8,Fiesta
Fiesta Chicken Nugget / Ayam Naget Beku (500 gram) Halal,48500,sasin,Jakarta Barat,250,4.9,Fiesta
FIESTA CHICKEN STIKIE 500 GR - NUGGET,68650,Hypermart Gajah Mada,Jakarta Pusat,90,4.8,Fiesta
Fiesta Chicken Nugget 250gr,26000,Super Food Mania,Jakarta Timur,22,5.0,Fiesta
fiesta chicken nugget 500 gram,48700,INDO FROZEN,Bekasi,100,5.0,Fiesta
Fiesta Chicken Nugget Zoo 500gr,49900,Aishakira online,Jakarta Timur,100,5.0,Fiesta
Cedea Bakso Ikan / Bakso Ikan Teman Laut 200gr,15900,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,11,5.0,Fiesta
Fiesta Pizz ABC 500gr (Naget Ayam rasa Pizza),49500,Orient Food,Surabaya,40,5.0,Fiesta
Cedea Steamboat Shabu-Shabu Free Bumbu 300gram / 500gram - 300gr,29900,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,60,4.8,Fiesta
Fish n Cheese Nugget Roku Bento BSD - Naget Ikan Keju 15 Pcs,68000,Roku Bento BSD,Tangerang Selatan,100,4.9,Fiesta
Kanzler Beef Cocktail 250gr Best Seller,30875,Kuka Kuka Meat Shop Jaksel,Jakarta Selatan,50,5.0,Fiesta
FIESTA Nugget 500gr,47000,ARH Frozen Stockist,Surabaya,500,5.0,Fiesta
chiken nugget fiesta,29999,Taufik Bumbu Giling,Jakarta Selatan,11,4.8,Fiesta
Fiesta Chicken Nugget 250gr,26500,Success Freshmart,Jakarta Utara,19,5.0,Fiesta
FIESTA NUGGET HAPPY STAR 500 GR,49600,Zahra Froz,Jakarta Timur,100,5.0,Fiesta
fiesta nugget 500gr,46800,Ummistore,Jakarta Selatan,100,5.0,Fiesta
FIESTA SPICY NUGGET 500g,49500,Madina Frost,Kab. Tangerang,60,5.0,Fiesta
