rating,review
5,sesuai deskrip
5,"sesuai deskrip,pesen sabtu proses dan kirim hari senen,..ternyata minggu nya libur.."
5,top
5,top
5,top
5,"barang sesuai deskripsi, packing baik dan aman, mantap"
5,"barang sesuai deskripsi, packing baik dan aman, mantap"
5,"nice product, thanks to seller, courier and Tokopedia.. success"
5,"nice product, thanks to seller, courier and Tokopedia... success"
5,Mantap Penyampaiannya. 👍
5,enak rasanya
5,"Pengiriman cepat, Packing rapi dan Aman, Recommended seller, Terima kasih"
5,enak selaluuu
5,anak2 suka banget sama kanzler... mulai dr sosis.. nugget... eunak pooool.... pengiriman juga cepet dan packing super aman. seller responsif. andalan mami kalo males masa... 
5,Mantap.. Sesuai deskripsi
5,Mantap.. Sesuai deskripsi
5,Hrs bgt stock ini
5,Suka bgt
5,Barang sesuai gambar. Pengiriman cepat. Packing baik. Jumlah sesuai. Produk sudah terbukti enak.
5,"Recommended product and seller. Boleh juga nih basonya, gak ribet. Makan langsung, buat masak juga bisa."
5,"Recommended product and seller. Boleh juga nih basonya, gak ribet. Makan langsung, buat masak juga bisa."
5,fast
3,"lumayan harganya, dgn kualitasnya"
5,The best nugget ever!
5,Favorit enak bgt
5,mantab. dpt harga pas lg murah
5,"sangat berkualitas, mantap, respon cepat."
5,"Sesuai, cepat. makasihh"
5,enak👍
5,👍👍👍👍👍👍👍
5,pesanan diterima dlm keadaan baik. harga terjangkau. Terima kasih Seller jg Tokopedia
5,enak anak2 pd suka brasa dagingx
5,enak pedasx luar biasa
5,enak lembut crsypy nugget
4,Bubble crumbs lepas2
5,"enaaak, harga ga bisa bohong"
5,enak sosisx
5,enak2 bgd
4,"puas, walaupun pakai sameday agak lama"
1,Tidak ada info dari kurir kalau barang sudah sampai. Tunggu besok nya baru sadar barang sudah seharian di kotak paket.
5,barang sudah sampai dan kondisinya sgt baik
5,barang sudah sampai dan kondisinya sgt baik
4,lumayan
4,lumayan
5,"pengiriman sesuai, cepat. pesan malam, besok sorenya sampai. terima kasih.."
5,mantap
5,Sekali kali kayak sisca kohl
5,good service
5,good service
5,good service
5,good service
5,good service
5,good service
