nama_produk,harga_produk,penjual,lokasi_toko,jumlah_terjual,rating_produk,brand
kanzler crispy chicken nugget stick naget ayam stik renyah ,41500,Bright Frozen Food,Jakarta Pusat,100,5.0,Kanzler
Kanzler Crispy Chicken Nugget Stick | Naget Ayam Stik Krispie - 450gr,39500,Hijrahfood Meatshop Jaksel,Jakarta Selatan,40,5.0,Kanzler
Kanzler Crispy Chicken Nugget Naget Ayam Renyah Premium 450 gr,18500,Seven Days Healthy Frozen Store,Jakarta Timur,100,5.0,Kanzler
Kanzler Chiken Nugget 450gr,45000,raja daging,Jakarta Barat,1000,5.0,Kanzler
kanzler chikken nuget,38900,KING DURIAN84,Depok,500,5.0,Kanzler
Kanzler Crispy Chicken Nugget Stick 450 gram,39900,Indah Frozen Food,Surabaya,100,4.8,Kanzler
Smoked Beef KANZLER @1kg,117600,Ratu Daging Jaksel,Jakarta Selatan,5000,5.0,Kanzler
Kanzler chicken nugget / kanzler crispy nugget ayam Halal Mui - Crispy 450g,42900,Fresh Multi,Jakarta Utara,250,5.0,Kanzler
Kanzler Crispy Chicken Nugget 450 g Pack,39900,Ayoo! Fresh,Tangerang Selatan,1000,5.0,Kanzler
Sosis Kanzler Cheese Frankfurter Beef Sausage / Sosis Keju 360gr,47900,Bliss Kitchen Jakarta,Jakarta Pusat,1000,5.0,Kanzler
Kanzler Crispy Chicken Nugget Stick | Naget Ayam Stik Krispie - 450gr,42500,Hijrahfood Meatshop Bekasi,Bekasi,60,5.0,Kanzler
Kanzler Beef Cocktail Sausage 250 gram,28000,Indah Frozen Food,Surabaya,100,4.9,Kanzler
Kanzler Crispy Chicken Nugget 450 gram,41000,Indah Frozen Food,Surabaya,2000,4.9,Kanzler
Kanzler Crispy Chicken Nugget | Naget Ayam Krispy (450 gr),39500,Hijrahfood Meatshop Tanjung Duren Jakarta Barat,Jakarta Barat,100,5.0,Kanzler
Nugget Kanzler Crispy Bubble Crumb Chicken Naget Ayam Crumbs,19500,Nishimura,Tangerang Selatan,18,5.0,Kanzler
Bakso sapi pedas Kanzler Bakso hot Kanzler singles pack 55g isi 4pc,7500,SinarMurni,Jakarta Pusat,250,4.9,Kanzler
KANZLER CRISPY CHICKEN NUGGET 450 GRAM,40500,Raveshop123,Jakarta Barat,250,5.0,Kanzler
kanzler beef cocktail 500 gram,47950,AZEINN,Jakarta Selatan,2000,5.0,Kanzler
Sosis sapi dan ayam pedas Sosis Kanzler Hot sosis single hot 1 x 65g,7500,SinarMurni,Jakarta Pusat,3000,4.9,Kanzler
Kanzler Chicken Nugget 450gr,36950,Foodia Mart,Jakarta Timur,17,5.0,Kanzler
STICK KANZLER NAGET CRISPY 450gr,41600,pelangi girls naget,Jakarta Timur,50,4.9,Kanzler
Kanzler Chicken Nugget 450gr Naget Ayam,40900,Frozone Market Jakarta Timur,Jakarta Timur,750,5.0,Kanzler
kanzler nugget crispy stick 450gram,40000,tokoflashsalemodernland,Tangerang,30,5.0,Kanzler
KANZLER CHICKEN NUGGET 450g,39500,Madina Frost,Kab. Tangerang,250,5.0,Kanzler
Kanzler Cheese Cocktail Sausage | Sosis Breakfast Keju (500 gr),48900,Hijrahfood Meatshop,Jakarta Barat,2000,5.0,Kanzler
sosis kanzler cocktail 250 gram,24500,AZEINN,Jakarta Selatan,4000,5.0,Kanzler
Kanzler Crispy Chicken Nugget Stick 450gr Naget Ayam Krispy Stik,39480,RIESA Mart,Tangerang Selatan,40,5.0,Kanzler
kanzler cheese cocktail 500 gram,42500,AZEINN,Jakarta Selatan,2000,5.0,Kanzler
Kanzler Crispy Chicken Nugget 120gr,14000,Brother Meat Shop,Depok,250,5.0,Kanzler
Kanzler Chicken Nugget Original Premium / Naget Ayam Berbumbu (450 gr),39900,Hijrahfood Meatshop Depok,Depok,100,5.0,Kanzler
Nugget Kanzler Crispy enakk 450 gr,40600,Ummistore,Jakarta Selatan,250,5.0,Kanzler
KANZLER CRISPY CHICKEN NUGGET 450GR PROMO,45000,Baltimore Snack & Frozen,Jakarta Pusat,100,5.0,Kanzler
Kanzler Chicken Cordon Bleu 900 gr,122000,Rahmatika Freshmart,Tangerang Selatan,60,5.0,Kanzler
kanzler chicken nugget crispy bubble crumb 450gr PROMO,39900,cahaya frozen,Tangerang,90,5.0,Kanzler
kanzler chiken nugget ori 450gr,36500,AZEINN,Jakarta Selatan,1000,5.0,Kanzler
Sosis sapi Kanzler Sosis kanzler Sosis Beef Cocktail Kanzler 250g,27500,SinarMurni,Jakarta Pusat,1000,4.9,Kanzler
Kanzler Chicken Cordon Blue isi 2pcs 300gram,45600,Kuka Kuka Shop,Jakarta Barat,50,4.9,Kanzler
Kanzler Chicken Nugget 450 Gram,38000,Ara Frozen,Jakarta Timur,21,5.0,Kanzler
Kanzler Sosis Ayam Cheese Cocktail 500gr,51205,Kuka Kuka Meat Shop,Jakarta Utara,90,5.0,Kanzler
Kanzler Cheese Cocktail 500 gr,45600,SAJI Frozen&Snack,Jakarta Barat,100,5.0,Kanzler
smoked beef kanzler 1kg,120000,NooLiMeat Shop,Jakarta Barat,250,5.0,Kanzler
Chrispy chicken nugget stick kanzler,39500,Ara Frozen,Jakarta Timur,10,5.0,Kanzler
Sosis Kanzler Bockwurst Beef Sausage 360gr,43900,Bliss Kitchen Jaksel,Jakarta Barat,500,5.0,Kanzler
Kanzler Sosis Beef Wiener 360gr,50000,MajuMakmurFrozenFood,Kab. Karawang,2,5.0,Kanzler
